X,Y,OBJECTID,COUNTY,UNIQUE_ID,MONUMENT_NAME,RANGE,STATE_PLANE_ZONE,EASTING,NORTHING,LONGITUDE,LATITUDE
731900.423,482338.1365,75,BREVARD,BE R-040,R-040,R,East_Zone,782112.99,1444142.85,-80.6085892,28.30595438
731917.0672,482047.5111,76,BREVARD,BE R-041,R-041,R,East_Zone,782144.5,1443190.35,-80.60850087,28.30333434
731930.3967,481742.9031,77,BREVARD,BE R-042,R-042,R,East_Zone,782164,1442192.35,-80.60845032,28.30058927
731949.1442,481440.718,78,BREVARD,BE R-043,R-043,R,East_Zone,782201.5,1441201.85,-80.60834376,28.29786466
720819.4968,531762.2849,79,BREVARD,BE V-317,V-317,V,East_Zone,749637.88,1606787.41,-80.70828361,28.75353391
721000.0059,531516.4101,80,BREVARD,BE V-318,V-318,V,East_Zone,750211.48,1605968.3,-80.70649977,28.75127728
721180.5126,531270.5045,81,BREVARD,BE V-319,V-319,V,East_Zone,750785.07,1605149.09,-80.70471604,28.74902035
721361.0213,531024.6323,82,BREVARD,BE V-320,V-320,V,East_Zone,751358.67,1604329.99,-80.70293235,28.7467637
721541.4971,530778.7287,83,BREVARD,BE V-321,V-321,V,East_Zone,751932.16,1603510.79,-80.70114908,28.74450676
721722.0025,530532.8531,84,BREVARD,BE V-322,V-322,V,East_Zone,752505.75,1602691.68,-80.69936557,28.74225003
721902.5114,530286.9498,85,BREVARD,BE V-323,V-323,V,East_Zone,753079.35,1601872.48,-80.69758211,28.73999303
722083.0163,530041.0767,86,BREVARD,BE V-324,V-324,V,East_Zone,753652.94,1601053.38,-80.69579876,28.73773629
722263.4913,529795.1723,87,BREVARD,BE V-325,V-325,V,East_Zone,754226.43,1600234.18,-80.6940158,28.73547925
722443.999,529549.2958,88,BREVARD,BE V-326,V-326,V,East_Zone,754800.03,1599415.07,-80.69223256,28.73322242
722624.504,529303.3917,89,BREVARD,BE V-327,V-327,V,East_Zone,755373.62,1598595.87,-80.69044944,28.73096533
722805.0112,529057.518,90,BREVARD,BE V-328,V-328,V,East_Zone,755947.22,1597776.77,-80.68866636,28.72870849
722985.5159,528811.6104,91,BREVARD,BE V-329,V-329,V,East_Zone,756520.81,1596957.56,-80.68688339,28.72645133
723165.9893,528565.7354,92,BREVARD,BE V-330,V-330,V,East_Zone,757094.3,1596138.46,-80.68510081,28.72419444
